"Client Id","Client Name",Email,Address,"Phone Number"
1,"Renee Owens",cirafyti@mailinator.com,"Ad est facere ad te","+1 (724) 585-6512"
,,,,
,,,,
"Event Id","Event Name",Budget,"Start Date","End Date"
1,"Sharon Mcgowan",40,1983-04-30,1970-05-12
2,"Josephine Wilkinson",97,1981-09-03,2021-03-01
3,"Kerry Mcdonald",59,2007-12-25,1981-02-07
,,,,
,,,,
"Customer Id","Customer Name",Email,Address,"Phone Number"
1,"Blaine Ingram",gira@mailinator.com,"Tempore minim do qu","+1 (683) 929-8144"
2,"Kato Riggs",zibecilo@mailinator.com,"Sunt at exercitation","+1 (265) 387-8622"
